Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,Magnitude,Sentiment
261,Goodbye (Live),Aaron Tveit,broadway,2013,145,69,38,-8,19,33,250,31,5,25,7,0
262,What You’d Call a Dream (Live),Aaron Tveit,broadway,2013,134,7,40,-18,87,25,233,87,5,25,0,0
263,Phantom Phantasy,Andrew Lloyd Webber,broadway,2018,97,47,13,-8,40,8,294,7,3,25,5.400000095,0.600000024
264,When You Wish Upon A Star,Michael Ball,hollywood,2016,83,23,27,-16,26,5,226,93,4,24,4.300000191,0.300000012
265,Incurably Romantic,Michael Ball,hollywood,2016,81,24,30,-15,9,12,259,84,4,24,5.099999905,0
266,Speak Softly Love,Michael Ball,hollywood,2016,63,19,25,-14,20,8,239,88,3,24,10.19999981,0.699999988
267,There’s a World / Hero and Leander (Live),Aaron Tveit,broadway,2013,77,31,37,-12,71,19,294,84,5,24,0,0
268,The Music Of The Night,Andrew Lloyd Webber,broadway,2018,168,27,16,-10,13,14,312,66,3,24,3.900000095,0.300000012
269,"Another Op'nin', Another Show",Soundtrack/Cast Album,broadway,2000,149,39,43,-10,6,34,376,77,6,23,0,0
270,Cabaret: Willkommen,John Kander,broadway,1966,91,48,53,-11,87,52,309,74,14,23,25.10000038,0.200000003
271,As If We Never Said Goodbye,Andrew Lloyd Webber,broadway,2018,93,22,24,-11,17,17,277,87,3,23,4.800000191,0
272,Any Dream Will Do,Andrew Lloyd Webber,broadway,2018,127,47,77,-9,7,66,232,26,3,23,5.900000095,0.200000003
273,Oh What A Circus,Andrew Lloyd Webber,broadway,2018,131,62,37,-6,30,28,345,79,4,23,9,0
276,Cold,Andrew Lloyd Webber,broadway,2018,123,77,75,-7,10,75,211,31,3,22,4.300000191,0
277,Take That Look Off Your Face,Andrew Lloyd Webber,broadway,2018,106,65,55,-5,12,33,179,72,4,22,6.599999905,0
278,Today 4 U,"Original Broadway Cast ""Rent""",hollywood,1999,132,92,84,-8,10,65,140,1,6,21,0,0
279,Country Roads,Colm Wilkinson,hollywood,2010,92,28,57,-13,28,35,210,88,7,21,2.900000095,0.300000012
280,Cabaret: Cabaret,John Kander,broadway,1966,95,24,52,-11,58,45,269,75,4,21,4.099999905,0.100000001
281,"Intro: Thanks, Guys! (Live)",Aaron Tveit,broadway,2013,138,43,62,-16,32,43,80,51,84,21,0,0
282,Intro: Not Your Average Lullaby (Live),Aaron Tveit,broadway,2013,66,32,68,-18,31,79,80,59,94,21,0,0
283,Intro: Little Bit Country (Live),Aaron Tveit,broadway,2013,138,30,65,-18,16,68,85,62,91,21,0,0
284,Intro: On a Friday Night (Live),Aaron Tveit,broadway,2013,137,24,66,-20,48,56,106,61,93,21,0,0
285,Masquerade,Andrew Lloyd Webber,broadway,2018,78,54,25,-10,27,40,290,55,4,21,26,0.100000001
286,All I Ask Of You,Andrew Lloyd Webber,broadway,2018,81,38,14,-10,11,20,248,87,4,21,7.900000095,0.5
288,Intro: The (Not) Last Song (Live),Aaron Tveit,broadway,2013,90,46,65,-18,46,68,98,69,94,20,7,0
289,"Intro: Welcome, Freshmen (Live)",Aaron Tveit,broadway,2013,99,26,73,-18,45,73,60,57,93,20,0,0
290,Seeing Is Believing,Andrew Lloyd Webber,broadway,2018,83,50,18,-8,49,20,270,93,4,20,3.900000095,0.400000006
291,Sunset Boulevard,Andrew Lloyd Webber,broadway,2018,135,48,38,-8,12,47,182,97,11,20,4.900000095,0.200000003
292,Jellicle Ball,Andrew Lloyd Webber,broadway,2018,161,73,41,-7,16,34,266,26,4,20,0,0
293,I Believe My Heart,Andrew Lloyd Webber,broadway,2018,100,34,50,-9,8,12,235,74,3,20,2.599999905,0
294,Learn To Be Lonely,Andrew Lloyd Webber,broadway,2018,87,37,26,-9,38,18,203,60,4,20,4.5,0.600000024
295,Mr. Mistoffelees,Andrew Lloyd Webber,broadway,2018,176,78,47,-7,92,82,218,35,26,20,0,0
296,The Vaults Of Heaven,Andrew Lloyd Webber,broadway,2018,172,71,41,-5,20,36,220,38,7,20,0,0
297,Unexpected Song,Andrew Lloyd Webber,broadway,2018,81,33,26,-9,11,37,175,95,4,20,2.299999952,-0.300000012
298,Carefully Taught,Billy Porter,broadway,2017,168,51,58,-8,12,43,276,22,5,19,0,0
299,Intro: Where Am I? (Live),Aaron Tveit,broadway,2013,89,31,69,-19,94,85,47,72,90,19,0,0
300,Close Every Door,Andrew Lloyd Webber,broadway,2018,94,22,18,-12,12,22,228,87,3,19,3,0
301,Jacob & Sons/Coat Of Many Colours,Andrew Lloyd Webber,broadway,2018,142,76,47,-8,10,56,342,42,13,19,9.800000191,0.100000001
302,Theme And Variations 1,Andrew Lloyd Webber,broadway,2018,109,67,62,-8,42,83,178,42,3,19,0,0
303,I'm Hopeless When It Comes To You,Andrew Lloyd Webber,broadway,2018,137,22,38,-13,10,20,225,90,4,19,24.79999924,0
304,Bring Him Home (From Les Miserables),Colm Wilkinson,hollywood,1989,84,10,29,-21,10,7,208,98,5,18,0,0
305,The Music of the Night,Colm Wilkinson,hollywood,2010,139,27,34,-12,8,7,320,83,5,18,2.700000048,0
306,Intro: No Judgement (Live),Aaron Tveit,broadway,2013,79,27,72,-18,24,70,33,54,95,18,0,0
307,Intro: The Future Is Closer Than You Think (Live),Aaron Tveit,broadway,2013,109,28,72,-18,48,80,54,66,92,18,0,0
308,Macavity: The Mystery Cat,Andrew Lloyd Webber,broadway,2018,86,28,50,-9,68,17,237,71,14,18,0,0
309,The Merry Old Land Of Oz,Andrew Lloyd Webber,broadway,2011,113,62,61,-6,12,75,143,72,7,18,6.800000191,0.400000006
310,The Phantom Of The Opera (From The Phantom Of The Opera),Colm Wilkinson,hollywood,1989,79,19,16,-18,8,16,193,86,4,17,1,0.100000001
311,Hallelujah,Colm Wilkinson,hollywood,2010,180,24,28,-12,9,11,272,98,4,17,5.400000095,0.5
312,‘Til I Hear You Sing,Andrew Lloyd Webber,broadway,2018,136,33,28,-11,8,9,259,79,4,17,6.5,-0.200000003
313,Empty Chairs At Empty Tables (From Les miserables),Colm Wilkinson,hollywood,1989,91,9,32,-21,9,7,167,92,4,16,0,0
314,Man Of La Mancha (From Man Of La Mancha),Colm Wilkinson,hollywood,1989,134,26,40,-18,50,52,230,83,5,16,0,0
315,The Beauty Underneath,Andrew Lloyd Webber,broadway,2018,117,74,66,-7,67,33,294,21,8,16,20.60000038,0.400000006
316,Love Never Dies,Andrew Lloyd Webber,broadway,2018,145,24,21,-12,11,5,369,94,4,16,9.100000381,0.600000024
317,Love Never Dies Orchestral Suite,Andrew Lloyd Webber,broadway,2018,96,40,14,-10,10,10,384,87,3,16,0,0
318,I'd Be Surprisingly Good For You,Andrew Lloyd Webber,broadway,2018,109,34,47,-10,14,38,187,93,4,16,11.39999962,0.200000003
319,King Herod's Song,Andrew Lloyd Webber,broadway,2018,105,79,71,-9,19,67,181,78,8,16,8.399999619,0
848,Prince Ali (Sultan Reprise),Clifton Davis,broadway,2014,187,51,42,-6,7,35,73,39,7,35,0,0
851,I'm Here,The Original Broadway Cast Of 'The Color Purple',broadway,2005,89,24,31,-10,17,22,266,82,3,35,0,0
867,Sing!,Chryssie Whitehead,broadway,2006,101,33,62,-10,30,47,130,83,20,33,0,0
870,Wig In A Box,Hedwig And The Angry Inch - Original Broadway Cast,broadway,2014,130,52,47,-8,6,35,307,49,5,32,0,0
1000,Easy,Commodores,adult standards,1977,132,35,60,-15,6,34,256,15,3,74,4.900000095,0
1001,(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,adult standards,2006,95,69,63,-7,12,94,181,18,5,72,5.699999809,0.400000006
1002,"Oh, Pretty Woman",Roy Orbison,adult standards,1962,127,60,62,-9,7,96,179,72,3,70,4.300000191,0
1003,Sweet Caroline,Neil Diamond,adult standards,1987,63,13,54,-16,24,53,204,59,3,70,3.299999952,0.400000006
1004,(What A) Wonderful World,Sam Cooke,adult standards,2000,129,51,69,-10,46,89,125,63,3,70,5.699999809,0.200000003
1005,In A Sentimental Mood,Duke Ellington,adult standards,1963,108,31,46,-12,21,28,255,94,3,69,0.100000001,0.100000001
1006,This Will Be (An Everlasting Love),Natalie Cole,adult standards,1975,127,62,69,-11,3,90,172,23,4,69,9.199999809,0.699999988
1007,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1991,140,40,69,-12,46,84,126,70,6,67,4.699999809,0.899999976
1008,I Believe in You,Michael Bublé,adult standards,2016,113,74,61,-6,10,53,202,13,3,66,5.900000095,0.300000012
1009,I Got It Bad And That Ain't Good,Oscar Peterson Trio,adult standards,1997,51,6,52,-27,9,18,306,97,5,66,0.400000006,-0.400000006
1010,It's Beginning To Look A Lot Like Christmas,Michael Bublé,adult standards,2012,93,23,35,-11,29,38,206,91,3,66,4.300000191,0.600000024
1012,What A Wonderful World,Louis Armstrong,adult standards,1968,77,17,27,-21,12,20,139,73,4,65,2.5,0.5
1013,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202,60,24,-8,12,78,152,77,4,65,4.5,0.699999988
1014,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1948,143,32,60,-11,34,84,156,88,6,65,0,0
1015,Dream A Little Dream Of Me,Ella Fitzgerald,adult standards,1995,95,15,49,-14,16,36,188,92,8,65,3,0.400000006
1016,My Little Brown Book,Duke Ellington,adult standards,1963,70,19,37,-13,16,22,320,94,3,64,0.100000001,0.100000001
1017,You Make Me Feel So Young,Frank Sinatra,adult standards,1956,125,31,58,-12,18,57,177,38,4,64,5.400000095,0.5
1018,I'm Coming Out,Diana Ross,adult standards,1980,110,83,73,-9,8,76,323,18,5,63,5,0.300000012
1019,Summertime,Louis Armstrong,adult standards,1958,66,9,15,-21,11,12,298,91,3,62,1.700000048,0.300000012
1020,Winter Wonderland,Bing Crosby,adult standards,2006,127,23,59,-14,12,54,144,83,5,62,6.5,0.600000024
1021,The Girl From Ipanema,Stan Getz,adult standards,1964,129,14,66,-17,11,40,318,87,4,62,17.29999924,0.100000001
1023,Stockholm Sweetnin',Scott Hamilton,adult standards,2013,120,30,61,-12,11,31,476,84,4,61,0.100000001,0.100000001
1024,A Sunday Kind Of Love,Etta James,adult standards,1960,81,28,39,-10,27,47,199,87,3,61,6.599999905,0.400000006
1025,The Masquerade Is Over,Nancy Wilson,adult standards,1962,174,4,34,-18,16,13,258,91,3,60,1.200000048,0.200000003
1026,Jump in the Line,Harry Belafonte,adult standards,1961,116,89,59,-8,12,80,222,77,25,60,12.30000019,0.400000006
1028,Let's Fall In Love,Diana Krall,adult standards,1999,124,16,62,-17,14,47,259,84,5,60,4.300000191,0.200000003
1029,That's Amore,Dean Martin,adult standards,1996,79,16,51,-13,10,46,188,66,3,60,5.099999905,0.5
1030,Lullaby Of The Leaves,Gerry Mulligan,adult standards,1998,125,8,44,-17,9,49,195,97,4,59,0,0
1032,All I Want For Christmas Is You,Michael Bublé,adult standards,2012,142,47,50,-8,10,14,172,42,3,59,3.400000095,0.100000001
1034,Hit The Road Jack,Ray Charles,adult standards,2009,173,59,59,-13,82,96,118,70,32,58,5.199999809,-0.400000006
1035,Bitter With The Sweet,Carole King,adult standards,1968,99,43,69,-13,12,69,148,81,6,58,2.400000095,0.600000024
1036,Christmas (Baby Please Come Home),Michael Bublé,adult standards,2012,126,79,50,-6,8,67,188,0,3,58,3.400000095,0.300000012
1037,A Holly Jolly Christmas,Burl Ives,adult standards,2007,140,36,67,-13,15,82,133,64,3,58,0.600000024,0.600000024
1038,Cheek To Cheek,Ella Fitzgerald,adult standards,1956,122,31,65,-13,13,68,353,60,11,57,3.700000048,0.400000006
1040,Dear Old Stockholm,Scott Hamilton,adult standards,2013,134,21,58,-15,20,29,597,91,4,55,0,0
1041,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,130,20,47,-16,5,54,144,88,6,55,14.80000019,0.200000003
1042,What The World Needs Now,Dionne Warwick,adult standards,1967,112,29,59,-13,21,35,191,69,4,55,4.699999809,0.699999988
1043,I Get Along Without You Very Well (Except Sometimes),Chet Baker,adult standards,1956,103,3,44,-23,15,21,180,92,4,55,0,0
1044,Let's Call The Whole Thing Off,Ella Fitzgerald,adult standards,1957,123,31,65,-13,9,58,256,82,20,54,6.599999905,0.100000001
1047,Everyday,Buddy Holly,adult standards,1995,135,26,74,-11,8,51,128,50,3,53,6.400000095,0.899999976
1048,They Can't Take That Away From Me,Ella Fitzgerald,adult standards,1956,100,19,54,-15,11,39,280,64,8,53,1.700000048,0.200000003
1049,"Bewitched, Bothered, And Bewildered",Ella Fitzgerald,adult standards,1956,63,11,35,-16,10,30,423,97,4,52,6,0.100000001
1050,Into Each Life Some Rain Must Fall,Ella Fitzgerald,adult standards,1996,132,12,53,-15,12,45,190,96,5,52,3.099999905,0.300000012
1051,Shake It but Don't Break It,Scott Hamilton,adult standards,2016,138,33,59,-11,11,37,420,73,4,52,0,0
1052,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,adult standards,2002,84,14,70,-12,19,49,206,90,6,52,0,0
1053,La Vie En Rose,Louis Armstrong,adult standards,1994,71,12,57,-11,8,33,206,83,7,52,3.400000095,0.5
1055,All I Want For Christmas (Is My Two Front Teeth),Nat King Cole Trio,adult standards,2004,130,16,77,-10,14,50,151,90,6,51,3.099999905,-0.300000012
1056,Linus And Lucy,Vince Guaraldi Trio,adult standards,1965,82,39,50,-14,17,69,185,79,4,50,0,0
1057,Moonlight In Vermont,Stan Getz,adult standards,1992,126,38,34,-11,24,38,148,92,3,50,0,0
1058,If You Could See Me Now,Chet Baker,adult standards,2012,113,3,51,-20,14,18,318,94,4,49,0.100000001,0.100000001
1059,It's Only A Paper Moon,Ella Fitzgerald,adult standards,1996,118,14,73,-14,11,63,157,96,4,49,3.599999905,0
1060,White Christmas (Duet With Shania Twain),Michael Bublé,adult standards,2011,63,48,63,-8,13,64,217,47,3,49,0,0
1061,Show Me The Magic,Jamie Cullum,adult standards,2016,124,49,60,-5,25,58,150,26,4,49,0,0
1062,Manhattan,Ella Fitzgerald,adult standards,1956,69,28,48,-11,9,43,172,86,3,49,6.800000191,0.5
1063,Undecided,Ella Fitzgerald,adult standards,1998,207,30,61,-10,10,97,201,88,37,48,0.899999976,-0.300000012
1064,Charlie Brown Theme,Vince Guaraldi Trio,adult standards,1989,63,15,64,-19,14,8,260,17,4,48,0,0
1065,"Hello, Dolly!",Louis Armstrong,adult standards,1964,155,41,58,-10,20,62,147,84,5,48,1.5,0.699999988
1066,Jingle Bells (feat. The Puppini Sisters),Michael Bublé,adult standards,2011,123,59,70,-6,20,85,160,63,6,47,1.799999952,0.899999976
1067,Cold December Night,Michael Bublé,adult standards,2011,84,70,52,-7,9,41,198,1,2,47,4.800000191,0.300000012
1068,White Christmas,Bing Crosby,adult standards,2010,96,25,23,-16,40,19,184,91,3,47,3,0.699999988
1069,Jingle Bells,Frank Sinatra,adult standards,1957,175,34,51,-13,10,95,121,73,5,47,9.699999809,0.600000024
1070,Skating,Vince Guaraldi Trio,adult standards,1965,65,30,49,-17,13,55,146,75,3,46,0,0
1071,I'll See You In My Dreams,Diana Krall,adult standards,2017,95,31,69,-12,9,51,234,76,5,46,2.099999905,0.5
1072,Frosty The Snowman,Ella Fitzgerald,adult standards,1960,77,50,57,-7,28,85,132,77,5,46,4.699999809,0.100000001
1073,Someone To Watch Over Me,Ella Fitzgerald,adult standards,1950,113,10,39,-14,12,21,197,99,4,45,0.300000012,-0.100000001
1075,Mistletoe And Holly,Frank Sinatra,adult standards,1957,110,10,61,-14,8,34,136,80,4,45,5.199999809,0.600000024
1076,Christmas Time Is Here (with Tony Bennett),Josh Groban,adult standards,2017,136,24,38,-13,13,7,211,90,3,45,0,0
1077,Splanky,Count Basie,adult standards,1994,122,42,61,-8,6,60,216,71,4,45,0,0
1078,Beautifull,Carole King,adult standards,1968,77,34,65,-11,9,56,186,81,3,44,3,0.200000003
1081,Silver Bells,Tony Bennett,adult standards,2011,132,30,71,-13,14,53,195,83,3,43,3.900000095,0.600000024
1082,Samba De Uma Nota So,Stan Getz,adult standards,1962,77,14,69,-23,11,71,373,69,10,43,13.69999981,0
1084,It's Not Christmas 'Til You Come Home,Norah Jones,adult standards,2017,96,7,49,-20,11,23,192,90,4,40,3.799999952,-0.699999988
1089,(There's No Place Like) Home for the Holidays,Perry Como,adult standards,2001,144,40,53,-11,22,45,178,87,5,39,0.699999988,0.699999988
1090,What a Night!,"Harry Connick, Jr.",adult standards,2008,130,33,61,-11,8,50,204,22,5,39,6.099999905,0.300000012
1091,Have a Holly Jolly Christmas,"Harry Connick, Jr.",adult standards,2008,141,26,56,-13,11,47,244,65,4,39,3.900000095,0.400000006
1093,Up On The Roof,Carole King,adult standards,1968,180,31,36,-13,9,66,216,98,3,38,2,0.200000003
1094,L,Nat King Cole,adult standards,2000,78,19,57,-15,8,73,153,69,7,38,3.700000048,0.899999976
1096,Four Brothers,The Manhattan Transfer,a cappella,1994,207,51,41,-12,31,78,232,59,8,38,11.69999981,0.600000024
1098,I Really Don't Want Much for Christmas (feat. Eric Benét),Chris Botti,adult standards,2002,68,33,26,-11,39,19,259,78,4,38,0,0
1099,Locomotion,Carole King,adult standards,1980,131,78,68,-7,3,90,151,3,3,37,3.799999952,0.400000006
1101,The Pink Panther Theme,Henry Mancini,adult standards,2000,117,22,56,-13,30,23,156,47,4,36,0,0
1102,Oh No Not My Baby,Carole King,adult standards,1980,172,44,44,-8,7,53,181,57,3,36,3.900000095,-0.100000001
1103,Dancin' with Tears in My Eyes,Carole King,adult standards,1980,125,65,72,-7,9,77,211,23,3,36,2.299999952,-0.200000003
1106,Cool Yule,Kurt Elling,adult standards,2010,146,37,60,-10,8,56,211,43,16,36,0,0
1107,I've Got My Love To Keep Me Warm,Steve Tyrell,adult standards,1999,129,31,60,-10,13,25,214,61,3,36,5.099999905,0.400000006
1108,Here Comes Santa Claus (Right Down Santa Claus Lane),Bing Crosby,adult standards,2000,152,30,67,-9,16,75,183,84,4,35,3.5,0.300000012
1113,Little Jack Frost Get Lost,Seth MacFarlane,adult standards,2014,127,38,67,-7,11,63,154,73,4,34,3,-0.200000003
1114,Breakfast At Tiffany's,Henry Mancini,adult standards,1961,118,14,35,-21,12,16,168,98,3,34,0.100000001,0.100000001
1115,Baby It's Cold Outside,Ella Fitzgerald,adult standards,1996,113,8,77,-14,13,61,164,93,6,34,10.80000019,0.100000001
1117,So Long Dearie,Bette Midler,adult standards,2017,124,46,55,-9,12,70,163,75,6,33,0,0
1118,"Love Theme from ""Romeo and Juliet""",Henry Mancini,adult standards,2000,75,19,36,-12,14,16,152,95,3,32,0.100000001,0.100000001
1119,What Are You Doing New Year's Eve?,Diana Krall,adult standards,2005,69,12,37,-14,11,11,250,94,4,32,2.200000048,0.100000001
1120,Schroeder,Vince Guaraldi Trio,adult standards,1989,79,14,43,-18,16,65,112,97,5,31,0,0
1121,Hey Girl,Carole King,adult standards,1980,168,41,55,-7,14,43,222,28,3,31,1.600000024,-0.300000012
1122,Love For Sale,Lionel Hampton,bebop,1996,115,24,72,-18,8,53,209,85,4,31,0,0
1123,The Christmas Song (Chestnuts Roasting On An Open Fire),James Taylor,adult standards,2006,122,34,39,-10,24,21,232,40,3,31,2.900000095,0.400000006
1124,It’s The Holiday Season,Count Basie Orchestra,big band,2015,120,47,68,-6,15,54,241,25,3,30,0,0
1125,Wasn't Born To Follow,Carole King,adult standards,1968,78,41,47,-12,7,42,224,67,2,30,0.899999976,-0.100000001
1126,You’ll Be In My Heart,George Benson,adult standards,2017,98,40,72,-10,12,29,247,71,3,30,8.300000191,-0.5
1127,Christmas In New Orleans,Louis Armstrong,adult standards,1997,103,33,64,-12,15,50,174,65,16,30,2.5,0.5
1129,Moten Swing,Oscar Peterson Trio,adult standards,2010,136,22,76,-16,11,45,173,91,4,29,0,0
1130,Dear Heart,Henry Mancini,adult standards,2000,85,19,28,-13,18,24,161,97,3,28,1.799999952,0.300000012
1131,Moon River Cha Cha,Henry Mancini,adult standards,1961,127,26,73,-20,8,68,159,93,4,28,0.100000001,0.100000001
1132,The Golden Touch,Madeleine Peyroux,adult standards,2017,137,39,57,-6,22,38,186,74,6,28,0,0
1134,A Shot In The Dark,Henry Mancini,adult standards,2000,119,42,48,-12,20,44,153,7,4,26,0,0
1135,Lush Life,John Coltrane,bebop,1975,91,9,40,-20,16,12,329,98,4,26,4.800000191,0.300000012
1136,The Bare Necessities,Melody Gardot,adult standards,2016,91,40,65,-11,12,64,210,77,10,26,6.099999905,0.400000006
1137,With One Look,Barbra Streisand,adult standards,1993,87,32,28,-13,10,28,214,95,4,26,3.099999905,0.100000001
1140,Peter Gunn,Henry Mancini,adult standards,2000,119,47,57,-14,31,63,125,70,6,24,0.5,0.200000003
1141,Jingle Bell Rock,Brenda Lee,adult standards,1993,123,35,73,-12,50,87,131,72,4,24,3.599999905,0.699999988
1142,Charade,Henry Mancini,adult standards,2000,86,26,29,-14,22,8,155,78,3,23,2.599999905,0
1143,Mr. Lucky,Henry Mancini,adult standards,2000,121,24,42,-18,14,26,133,6,3,23,1.200000048,0
1144,Days Of Wine And Roses,Henry Mancini,adult standards,2000,81,17,25,-14,20,21,127,85,3,22,2.099999905,0.699999988
1146,Sweet Georgia Brown,Johnny Mercer,adult standards,1980,176,28,55,-11,62,91,155,89,7,22,3.599999905,0
1147,You've Got a Friend (Live),Carole King,adult standards,1971,177,67,31,-10,94,64,385,90,21,21,0,0
1149,Ev'rybody Wants To Be A Cat,Jamie Cullum,adult standards,2016,117,40,56,-8,32,49,177,34,4,21,2.799999952,0
1151,Will You Love Me Tomorrow?,Carole King,adult standards,1968,161,29,40,-15,9,24,251,80,3,20,4.099999905,0.5
1153,He's A Tramp,Melody Gardot,adult standards,2016,105,32,60,-11,11,44,223,83,4,20,3.200000048,0.800000012
1156,You've Got a Friend,Carole King,adult standards,1968,169,25,47,-12,12,45,309,88,3,19,2.900000095,0.100000001
1157,I Feel the Earth Move,Carole King,adult standards,1968,120,58,71,-10,5,67,179,70,3,19,4,0
1158,The Sweetheart Tree,Henry Mancini,adult standards,2000,120,40,31,-14,55,44,115,86,3,18,0.899999976,0.400000006
1159,Experiment in Terror,Henry Mancini,adult standards,2000,111,30,33,-15,16,34,137,56,3,18,2.099999905,0.699999988
1160,I Feel The Earth Move (Live),Carole King,adult standards,1971,126,87,48,-9,97,65,216,92,38,18,4,0.100000001
1162,How Soon,Henry Mancini,adult standards,2000,98,18,21,-13,9,15,166,95,3,17,0,0
1163,Baby Elephant Walk,Henry Mancini,adult standards,2000,121,31,78,-14,12,79,162,33,4,17,2.099999905,0.5
1165,Moon River,Henry Mancini,adult standards,2000,92,18,25,-16,20,11,162,95,3,17,0.699999988,0.699999988
1166,So Far Away (Live),Carole King,adult standards,1971,138,37,46,-10,76,43,253,95,4,17,0.5,-0.5
1167,Child Of Mine,Carole King,adult standards,1968,118,17,50,-14,9,33,242,99,4,17,4,0.5
1168,Snow Queen,Carole King,adult standards,1980,149,47,41,-10,8,31,267,23,3,16,2.099999905,-0.100000001
1170,It's Too Late (Live),Carole King,adult standards,1971,206,58,41,-8,94,48,262,85,10,16,0,0
1171,Tapestry,Carole King,adult standards,1968,131,19,46,-12,31,29,194,93,4,16,1.5,0
1172,Where You Lead,Carole King,adult standards,1968,107,43,78,-11,8,95,198,79,3,16,3.200000048,0.300000012
1173,Way Over Yonder,Carole King,adult standards,1968,89,23,56,-13,25,17,285,76,3,16,3.900000095,0.400000006
1174,Home Again,Carole King,adult standards,1968,140,22,51,-13,8,62,149,85,4,16,2.5,-0.100000001
1175,Hi,Carole King,adult standards,1968,77,53,31,-10,10,58,204,10,6,16,1.700000048,0
1177,Home Again (Live),Carole King,adult standards,1971,145,30,45,-13,93,53,166,98,6,15,2.099999905,0
1178,Jazzman,Carole King,adult standards,1968,118,69,57,-9,18,84,226,52,3,15,1.899999976,0.300000012
1179,Been To Canaan,Carole King,adult standards,1968,128,48,54,-12,9,51,218,90,3,15,1.600000024,0
1180,Whistling Away The Dark,Henry Mancini,adult standards,2000,108,19,23,-15,33,7,225,97,4,14,0.400000006,0
1181,"Theme From ""Hatari""",Henry Mancini,adult standards,2000,119,25,43,-19,10,56,175,57,3,14,0,0
1182,Snowfall,Henry Mancini,adult standards,2000,134,11,29,-20,11,29,217,92,3,14,2.400000095,-0.100000001
1183,Beautiful (Live),Carole King,adult standards,1971,82,50,50,-8,77,43,159,92,6,14,3.599999905,0.300000012
1184,After All This Time,Carole King,adult standards,1971,102,56,56,-10,93,73,200,96,14,14,3.5,0.800000012
1185,You've Got A Friend (Live At Carnegie Hall),Carole King,adult standards,1968,176,40,33,-16,97,62,383,87,13,14,0,0
1186,Only Love Is Real,Carole King,adult standards,1968,112,44,66,-14,13,88,211,68,3,14,1.899999976,0.600000024
1187,At This Time In My Life,Carole King,adult standards,1968,128,9,46,-17,14,22,170,97,3,14,0.600000024,-0.100000001
1188,It's Going To Take Sometime,Carole King,adult standards,1968,112,15,65,-15,9,30,215,95,4,14,2.599999905,0
1189,Sweet Seasons,Carole King,adult standards,1968,116,55,68,-12,12,87,195,35,3,14,3.400000095,0.400000006
1190,Smackwater Jack,Carole King,adult standards,1968,126,50,66,-11,7,77,222,44,3,14,3.5,0
1192,What's Happening!!,Henry Mancini,adult standards,2000,158,51,51,-8,11,95,128,49,3,13,0,0
1193,Two for the Road,Henry Mancini,adult standards,2000,87,24,37,-16,14,15,161,95,3,13,3.200000048,0.800000012
1194,A Profound Gass,Henry Mancini,adult standards,2000,122,20,66,-20,8,56,199,92,4,13,0,0
1195,Goin' Back,Carole King,adult standards,1980,123,56,56,-9,5,48,231,28,3,13,3.400000095,0.400000006
1196,Way Over Yonder (Live),Carole King,adult standards,1971,93,31,34,-9,73,33,254,97,3,13,3.400000095,0.200000003
1197,Eventually,Carole King,adult standards,1971,118,21,37,-13,73,28,278,95,4,13,1.399999976,-0.300000012
1198,Smackwater Jack (Live),Carole King,adult standards,1971,134,52,54,-10,98,57,229,78,9,13,2.799999952,-0.100000001
1199,Song Of Long Ago,Carole King,adult standards,1971,112,54,52,-10,90,39,205,87,10,13,4.5,0.5
1200,No Easy Way Down,Carole King,adult standards,1971,91,33,41,-12,76,48,333,98,5,13,1.700000048,0.100000001
1201,Carry Your Load,Carole King,adult standards,1971,122,41,47,-10,68,53,180,96,5,13,2,0.100000001
1202,Where You Lead I Will Follow,Carole King,adult standards,2005,108,45,66,-8,91,61,204,94,3,13,2.200000048,0.200000003
1203,Nightingale,Carole King,adult standards,1968,126,59,63,-10,27,87,218,27,3,13,1.799999952,-0.400000006
1204,Ties That Bind,Carole King,adult standards,1968,136,49,53,-12,10,72,130,82,4,13,2.5,0.400000006
1205,Goodbey Don't Mean I'm Gone,Carole King,adult standards,1968,129,44,64,-16,8,80,215,65,3,13,2.099999905,0
1206,Pocket Money,Carole King,adult standards,1968,130,29,47,-16,11,59,164,89,3,13,2.200000048,-0.200000003
1207,"Brother, Brother",Carole King,adult standards,1968,171,43,50,-12,14,68,180,76,6,13,2.5,0.600000024
1208,Music,Carole King,adult standards,1968,82,53,42,-11,18,72,231,42,3,13,1.5,0.200000003
1209,"Theme From ""The Great Impostor""",Henry Mancini,adult standards,2000,87,37,54,-15,36,42,164,38,3,12,0,0
1210,Just For Tonight,Henry Mancini,adult standards,2000,139,27,49,-17,13,75,123,20,3,12,2.700000048,0
1211,Wasn't Born to Follow,Carole King,adult standards,1980,190,68,42,-9,31,75,197,27,4,12,0.899999976,-0.100000001
1212,Hi De Ho,Carole King,adult standards,1980,113,54,62,-7,11,67,216,46,4,12,1.700000048,0
